Date,Open,High,Low,Close,Adj Close,Volume
1/5/2022,179.610001,180.169998,174.639999,174.919998,174.919998,94537600
1/6/2022,172.699997,175.300003,171.639999,172,172,96904000
1/7/2022,172.889999,174.139999,171.029999,172.169998,172.169998,86580100
1/10/2022,169.080002,172.5,168.169998,172.190002,172.190002,106765600
1/11/2022,172.320007,175.179993,170.820007,175.080002,175.080002,76138300
1/12/2022,176.119995,177.179993,174.820007,175.529999,175.529999,74805200
1/13/2022,175.779999,176.619995,171.789993,172.190002,172.190002,84505800
1/14/2022,171.339996,173.779999,171.089996,173.070007,173.070007,80355000
1/18/2022,171.509995,172.539993,169.410004,169.800003,169.800003,90956700
1/19/2022,170,171.080002,165.940002,166.229996,166.229996,94815000
1/20/2022,166.979996,169.679993,164.179993,164.509995,164.509995,91420500
1/21/2022,164.419998,166.330002,162.300003,162.410004,162.410004,122501300
1/24/2022,160.020004,162.300003,154.699997,161.619995,161.619995,162706700
1/25/2022,158.979996,162.759995,157.020004,159.779999,159.779999,115798400
1/26/2022,163.5,164.389999,157.820007,159.690002,159.690002,107740600
